"","year","trat","Cost","Price","gain","prob"
"1",1980,"1x",5,0.1,"46.0424597213496",0.545781440345616
"2",1980,"1x",5,0.1,"117.981772738817",0.024098994381063
"3",1980,"1x",5,0.1,"127.480528545224",0.0121718198452897
"4",1980,"1x",5,0.1,"113.606086586945",0.0322681456920556
"5",1980,"1x",5,0.1,"70.2892876204501",0.277720345493101
"6",1980,"1x",5,0.1,"111.476834374075",0.0370028139118959
"7",1980,"1x",5,0.1,"83.1355625550668",0.167785620884755
"8",1980,"1x",5,0.1,"35.3396043848234",0.664962772686223
"9",1980,"1x",5,0.1,"55.8981501388184",0.431952202326054
"10",1980,"1x",5,0.1,"48.1315903647292",0.521651073190714
"11",1981,"1x",5,0.1,"226.428543673066",0.0103463353183574
"12",1981,"1x",5,0.1,"220.737121167606",0.0125808026604818
"13",1981,"1x",5,0.1,"204.30278262309",0.0215156758296998
"14",1981,"1x",5,0.1,"127.157405354458",0.155821234641793
"15",1981,"1x",5,0.1,"55.471434162348",0.471401191308182
"16",1981,"1x",5,0.1,"61.3035156730889",0.441082431291464
"17",1981,"1x",5,0.1,"52.6648563487388",0.486061864975151
"18",1981,"1x",5,0.1,"52.5146037193954",0.486847445719186
"19",1981,"1x",5,0.1,"58.0597902388226",0.457914251816415
"20",1981,"1x",5,0.1,"57.7912708656122",0.459311421591526
"21",1982,"1x",5,0.1,"133.672493242978",0.0318809203109353
"22",1982,"1x",5,0.1,"222.488893798406",6.62806008989714e-05
"23",1982,"1x",5,0.1,"212.842175305517",0.000154331387188122
"24",1982,"1x",5,0.1,"167.480033087762",0.00462223126264094
"25",1982,"1x",5,0.1,"171.601424690347",0.00352797473229294
"26",1982,"1x",5,0.1,"133.322327011132",0.0324400604395746
"27",1982,"1x",5,0.1,"185.165991245587",0.00137345029125324
"28",1982,"1x",5,0.1,"173.366649681518",0.00313513818144273
"29",1982,"1x",5,0.1,"106.088612551691",0.106990105697108
"30",1982,"1x",5,0.1,"80.3647227959173",0.250550464490053
"31",1983,"1x",5,0.1,"57.1475027238257",0.380920130414812
"32",1983,"1x",5,0.1,"76.315271059746",0.132252189138011
"33",1983,"1x",5,0.1,"86.5810271024566",0.0604398553175886
"34",1983,"1x",5,0.1,"114.944741967345",0.00294577699803789
"35",1983,"1x",5,0.1,"127.629737542915",0.000498060499738107
"36",1983,"1x",5,0.1,"95.4307146191436",0.0270314641557781
"37",1983,"1x",5,0.1,"97.6813567392483",0.0216004358485264
"38",1983,"1x",5,0.1,"52.3289402899868",0.460668129028
"39",1983,"1x",5,0.1,"103.424943265099",0.0117471504076028
"40",1983,"1x",5,0.1,"88.7532532562341",0.0501710467344448
"41",1984,"1x",5,0.1,"138.67405370723",0.0158767087481082
"42",1984,"1x",5,0.1,"209.011236128717",5.88371919376662e-05
"43",1984,"1x",5,0.1,"142.972331226554",0.0121738963920999
"44",1984,"1x",5,0.1,"155.92974312334",0.0051528776101516
"45",1984,"1x",5,0.1,"125.630384258202",0.0335047372365348
"46",1984,"1x",5,0.1,"88.8707443589224",0.173258020695962
"47",1984,"1x",5,0.1,"106.209701667239",0.0867122990382323
"48",1984,"1x",5,0.1,"83.74309517542",0.206910634555465
"49",1984,"1x",5,0.1,"170.457586504729",0.00176576489891533
"50",1984,"1x",5,0.1,"83.7830380433884",0.206634383164837
"51",1985,"1x",5,0.1,"47.2383032683847",0.596879649906688
"52",1985,"1x",5,0.1,"22.9755398445559",0.991806114869316
"53",1985,"1x",5,0.1,"30.4343115131178",0.958869584965639
"54",1985,"1x",5,0.1,"20.8420711870785",0.995196265487063
"55",1985,"1x",5,0.1,"29.6051884263852",0.964956990546055
"56",1985,"1x",5,0.1,"26.7303036189351",0.980618110543537
"57",1985,"1x",5,0.1,"16.4865028666018",0.998542125766118
"58",1985,"1x",5,0.1,"31.1822747405295",0.952667425393769
"59",1985,"1x",5,0.1,"51.9786069315387",0.430253456143619
"60",1985,"1x",5,0.1,"37.3878438077045",0.868673360319137
"61",1986,"1x",5,0.1,"144.003937879399",0.0109277698610365
"62",1986,"1x",5,0.1,"135.679854487307",0.0183163239506543
"63",1986,"1x",5,0.1,"108.281253368928",0.0775784803133496
"64",1986,"1x",5,0.1,"129.673840367614",0.025987495957814
"65",1986,"1x",5,0.1,"84.181588033447",0.20221655826768
"66",1986,"1x",5,0.1,"214.113180026714",3.12830077148218e-05
"67",1986,"1x",5,0.1,"146.374728625457",0.00936917849675756
"68",1986,"1x",5,0.1,"135.949872531157",0.0180224394083035
"69",1986,"1x",5,0.1,"136.5950981623",0.0173364227902538
"70",1986,"1x",5,0.1,"214.475839971974",3.0133413879474e-05
"71",1987,"1x",5,0.1,"132.858762987916",0.000260090497583465
"72",1987,"1x",5,0.1,"109.33732527963",0.00647647633006987
"73",1987,"1x",5,0.1,"121.678385488111",0.00134147277157071
"74",1987,"1x",5,0.1,"137.225652164397",0.00012958224469739
"75",1987,"1x",5,0.1,"75.7325298349492",0.140587401342675
"76",1987,"1x",5,0.1,"103.295236590641",0.0128069459884069
"77",1987,"1x",5,0.1,"109.071715990799",0.00668167365407979
"78",1987,"1x",5,0.1,"132.568406719903",0.000272117869109412
"79",1987,"1x",5,0.1,"86.8652542759564",0.0613032587995619
"80",1987,"1x",5,0.1,"71.182480001663",0.187505288476107
"81",1988,"1x",5,0.1,"158.569659000344",0.000682170264269311
"82",1988,"1x",5,0.1,"117.461579718096",0.0233134970764962
"83",1988,"1x",5,0.1,"52.2996313323683",0.472962871257787
"84",1988,"1x",5,0.1,"104.01580979287",0.0555676440825389
